Store Number,Store Type,Region,Year,Display Name,Address,City,State,Zip Code,Country,Latitude,Longitude
3604,4,Phoenix,?,Walmart Neighborhood Market,14200 W Indian School Rd,Goodyear,AZ,85395,US,33.48594523,-112.3644975
3771,1,Phoenix,?,Walmart Supercenter,6150 S 35Th Ave,Phoenix,AZ,85041,US,33.39068199,-112.136169
3799,1,Phoenix,2007,Walmart Supercenter,240 W Baseline Rd,Mesa,AZ,85210,US,33.37890498,-111.8377358
3844,4,Phoenix,?,Walmart Neighborhood Market,5137 W Olive Ave,Glendale,AZ,85302,US,33.56751523,-112.1699683
3845,4,Phoenix,?,Walmart Neighborhood Market,6645 W Peoria Ave,Glendale,AZ,85302,US,33.580547,-112.202026
3846,4,Phoenix,?,Walmart Neighborhood Market,2725 E Mckellips Rd,Mesa,AZ,85213,US,33.44968399,-111.772102
3896,1,Phoenix,?,Walmart Supercenter,21655 N Lake Pleasant Pkwy,Peoria,AZ,85382,US,33.68013299,-112.27684
4060,2,Phoenix,2013,Walmart,671 E Apache Blvd,Tempe,AZ,85281,US,33.41463536,-111.9287404
4218,4,Phoenix,?,Walmart Neighborhood Market,15431 W Greenway Rd,Surprise,AZ,85374,US,33.622886,-112.392501
4232,1,Phoenix,?,Walmart Supercenter,4747 E Cactus Rd,Phoenix,AZ,85032,US,33.597377,-111.979026
4233,4,Phoenix,2008,Walmart Neighborhood Market,6550 West Happy Valley Rd,Glendale,AZ,85310,US,33.712264,-112.200302
4275,4,Phoenix,2015,Walmart Neighborhood Market,7421 West Thunderbird Road,Peoria,AZ,85381,US,33.61032396,-112.2183151
4293,4,Phoenix,2008,Walmart Neighborhood Market,2435 E Baseline Rd,Phoenix,AZ,85042,US,33.37612899,-112.029549
4324,4,Phoenix,2013,Walmart Neighborhood Market,1900 E Chandler Blvd,Chandler,AZ,85225,US,33.30649942,-111.8094036
4336,1,Phoenix,?,Walmart Supercenter,12900 W Thunderbird Rd,El Mirage,AZ,85335,US,33.60914245,-112.3367319
5124,1,Phoenix,2004,Walmart Supercenter,5605 W Northern Ave,Glendale,AZ,85301,US,33.551681,-112.17971
5189,1,Phoenix,2004,Walmart Supercenter,5250 W Indian School Rd,Phoenix,AZ,85031,US,33.49502585,-112.1722146
5190,1,Phoenix,2005,Walmart Supercenter,2501 W Happy Valley Rd Ste 34,Phoenix,AZ,85085,US,33.71275618,-112.1119058
5257,4,Phoenix,?,Walmart Neighborhood Market,5122 E University Dr,Mesa,AZ,85205,US,33.42376999,-111.720535
5304,4,Phoenix,?,Walmart Neighborhood Market,1916 S Lindsay Rd,Mesa,AZ,85204,US,33.38029399,-111.772544
5329,1,Phoenix,2005,Walmart Supercenter,4435 W Anthem Way,Anthem,AZ,85086,US,33.87101188,-112.1548051
5330,1,Phoenix,2005,Walmart Supercenter,6145 N 35Th Ave,Phoenix,AZ,85017,US,33.52629799,-112.132614
5331,1,Phoenix,2004,Walmart Supercenter,7575 W Lower Buckeye Rd,Phoenix,AZ,85043,US,33.421047,-112.223022
5332,4,Phoenix,?,Walmart Neighborhood Market,730 E Mckellips Rd,Mesa,AZ,85203,US,33.45155462,-111.8151006
5369,1,Phoenix,2005,Walmart Supercenter,1100 N Estrella Pkwy,Goodyear,AZ,85338,US,33.45928743,-112.3926432
5428,1,Phoenix,2005,Walmart Supercenter,1710 S Greenfield Rd,Mesa,AZ,85206,US,33.383873,-111.740143
5429,1,Phoenix,?,Walmart Supercenter,14111 N Prasada Gateway Ave,Surprise,AZ,85388,US,33.61033402,-112.42245
